id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
46,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,30,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,12,8,通常,立平葺,8点,22715,,2725800,直販,C8MA30B8
47,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,31,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,12.4,9.9,通常,立平葺,6点,23045,,2765400,直販,C8MA31B6
48,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,31,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,12.4,9.9,通常,立平葺,8点,23474,,2816880,直販,C8MA31B8
49,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,32,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,12.8,9.9,通常,立平葺,6点,23793,,2855160,直販,C8MA32B6
50,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,32,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,12.8,9.9,通常,立平葺,8点,24233,,2907960,直販,C8MA32B8
51,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,33,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,13.2,9.9,通常,立平葺,6点,24541,,2944920,直販,C8MA33B6
52,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,33,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,13.2,9.9,通常,立平葺,8点,24992,,2999040,直販,C8MA33B8
53,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,34,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,13.6,9.9,通常,立平葺,6点,25278,,3033360,直販,C8MA34B6
54,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,34,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,13.6,9.9,通常,立平葺,8点,25751,,3090120,直販,C8MA34B8
55,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,35,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14,9.9,通常,立平葺,6点,26026,,3123120,直販,C8MA35B6
56,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,35,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14,9.9,通常,立平葺,8点,26499,,3179880,直販,C8MA35B8
57,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,36,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14.4,9.9,通常,立平葺,6点,26763,,3211560,直販,C8MA36B6
58,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,36,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14.4,9.9,通常,立平葺,8点,27258,,3270960,直販,C8MA36B8
59,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,37,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14.8,9.9,通常,立平葺,6点,27511,,3301320,直販,C8MA37B6
60,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,37,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14.8,9.9,通常,立平葺,8点,28017,,3362040,直販,C8MA37B8
61,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,38,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,15.2,9.9,通常,立平葺,6点,28259,,3391080,直販,C8MA38B6
62,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,38,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,15.2,9.9,通常,立平葺,8点,28776,,3453120,直販,C8MA38B8
63,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,39,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,15.6,9.9,通常,立平葺,6点,28996,,3479520,直販,C8MA39B6
64,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,39,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,15.6,9.9,通常,立平葺,8点,29535,,3544200,直販,C8MA39B8
65,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,40,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,16,9.9,通常,立平葺,6点,29744,,3569280,直販,C8MA40B6
66,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,40,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,16,9.9,通常,立平葺,8点,30283,,3633960,直販,C8MA40B8
67,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,8,デルタ電子,H4J_220,1,H6J_240,,2,,1,,3.2,3.2,通常,立平葺,6点,6545,4532,1057320,直販,C8MA08X6
68,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,8,デルタ電子,H4J_220,1,H6J_240,,2,,1,,3.2,3.2,通常,立平葺,8点,6633,4598,1071840,直販,C8MA08X8
